Task,Category
finish quarterly report,urgent important
schedule meeting with client x,urgent important
respond to urgent email,urgent not-important
clean desk,not-urgent not-important
learn new programming language,not-urgent important
pay monthly bill,urgent not-important
exercise regularly,not-urgent important
read book on leadership,not-urgent important
attend networking event,not-urgent important
plan vacation,not-urgent important
submit expense report,urgent not-important
review employee performance,urgent important
update website content,not-urgent important
fix broken printer,urgent not-important
organize file,not-urgent not-important
attend conference,not-urgent important
write monthly newsletter,not-urgent important
create marketing plan,not-urgent important
hire new team member,urgent important
develop new product,urgent important
complete online course,not-urgent important
volunteer at local charity,not-urgent important
attend team meeting,urgent not-important
respond to customer inquiry,urgent not-important
update social medium profile,not-urgent important
meal prep for the week,not-urgent not-important
pay credit card bill,urgent not-important
clean out garage,not-urgent not-important
write blog post,not-urgent important
create presentation for meeting,urgent important
update resume,not-urgent important
learn new skill,not-urgent important
attend webinar,not-urgent important
network with industry professional,not-urgent important
set goal for the year,not-urgent important
review financial statement,urgent important
update project timeline,urgent important
brainstorm new idea,not-urgent important
delegate task to team member,urgent not-important
organize personal finance,not-urgent important
read industry news,not-urgent important
attend professional development workshop,not-urgent important
review and update marketing strategy,not-urgent important
optimize website for seo,not-urgent important
create content calendar,not-urgent important
analyze website traffic,not-urgent important
run social medium ad,urgent important
create email marketing campaign,urgent important
update sale pipeline,urgent important
close deal with potential client,urgent important
onboard new client,urgent important
follow up with lead,urgent not-important
attend industry trade show,not-urgent important
develop sale strategy,not-urgent important
train sale team,urgent important
create sale report,urgent not-important
analyze sale data,not-urgent important
improve customer satisfaction,urgent important
resolve customer complaint,urgent important
build relationship with key client,not-urgent important
implement new crm system,urgent important
update client contract,urgent not-important
review legal document,urgent important
negotiate contract with vendor,urgent important
manage inventory,urgent not-important
optimize supply chain,not-urgent important
improve production efficiency,urgent important
develop new product or service,urgent important
conduct market research,not-urgent important
analyze competitor activity,not-urgent important
create marketing campaign for new product,urgent important
launch new product,urgent important
manage product launch,urgent important
gather customer feedback,urgent not-important
improve product quality,urgent important
develop product roadmap,not-urgent important
optimize pricing strategy,not-urgent important
manage product return and refund,urgent not-important
improve customer support,urgent important
train customer support team,urgent not-important
respond to customer support inquiry,urgent not-important
implement customer support software,urgent important
analyze customer support metric,not-urgent important
improve customer experience,urgent important
create customer loyalty program,not-urgent important
conduct customer survey,urgent not-important
analyze customer segmentation,not-urgent important
develop targeted marketing campaign,urgent important
personalize customer communication,not-urgent important
build a strong brand reputation,not-urgent important
manage social medium crisis,urgent important
monitor brand reputation online,not-urgent important
respond to negative review,urgent important
create positive brand experience,not-urgent important
develop a crisis communication plan,not-urgent important
train employee on crisis communication,urgent not-important
study for math exam,urgent important
complete history essay,urgent important
attend chemistry lab,urgent important
finish english reading assignment,not-urgent important
practice guitar,not-urgent important
join study group,not-urgent important
volunteer at local animal shelter,not-urgent important
go to the gym,not-urgent important
meditate,not-urgent important
journal,not-urgent important
clean room,not-urgent not-important
do laundry,not-urgent not-important
cook dinner,not-urgent not-important
pay for lunch,urgent not-important
buy textbook,urgent not-important
attend club meeting,urgent not-important
work on group project,urgent important
prepare presentation,urgent important
review lecture note,not-urgent important
solve practice problem,not-urgent important
watch educational video,not-urgent important
take online course,not-urgent important
read academic paper,not-urgent important
attend career fair,not-urgent important
network with professional,not-urgent important
practice interview skill,not-urgent important
apply for internship,urgent important
search for job,urgent important
write cover letter,urgent important
prepare job interview,urgent important
negotiate salary offer,urgent important
attend job orientation,urgent important
start new job,urgent important
save money for future,not-urgent important
invest in retirement account,not-urgent important
pay off student loan,urgent important
build credit score,not-urgent important
